"UKPRN","Institution","Subject","Level","Question number","answered 1","answered 2","answered 3","answered 4","answered 5","N/A","Confidence interval - min","Actual value","Confidence interval - max","Number of Respondents","Sample size","Two years aggregate data?"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q19",0%,4%,4%,42%,50%,0,74%,92%,98%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q20",0%,4%,0%,27%,69%,0,79%,96%,99%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q21",0%,4%,0%,42%,54%,0,79%,96%,99%,26,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Q22",0%,4%,16%,32%,48%,1,59%,80%,92%,25,35,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q1",1%,9%,16%,57%,16%,0,61%,73%,83%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q2",7%,9%,14%,62%,8%,0,58%,70%,80%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q3",1%,16%,12%,58%,12%,0,58%,70%,80%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q4",3%,7%,16%,51%,23%,1,62%,74%,83%,73,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q5",7%,11%,9%,54%,19%,0,61%,73%,83%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q6",3%,12%,20%,55%,9%,0,52%,65%,76%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q7",11%,23%,19%,38%,9%,0,35%,47%,60%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q8",5%,15%,16%,53%,11%,0,51%,64%,75%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q9",5%,24%,30%,35%,5%,0,29%,41%,53%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q10",3%,5%,15%,64%,14%,0,65%,77%,86%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q11",1%,18%,11%,46%,24%,0,58%,70%,80%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q12",1%,15%,22%,46%,16%,6,49%,62%,73%,68,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q13",7%,9%,16%,50%,18%,0,55%,68%,78%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q14",11%,23%,17%,42%,7%,3,37%,49%,62%,71,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q15",12%,8%,20%,54%,5%,0,47%,59%,71%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q16",1%,4%,9%,39%,46%,0,74%,85%,92%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q17",3%,3%,5%,47%,42%,0,79%,89%,95%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q18",2%,2%,23%,48%,25%,18,59%,73%,84%,56,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q19",3%,10%,21%,49%,18%,1,54%,67%,78%,73,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q20",4%,5%,31%,38%,22%,0,47%,59%,71%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q21",1%,14%,21%,44%,21%,1,52%,64%,75%,73,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Q22",4%,9%,8%,61%,18%,0,66%,78%,87%,74,122,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q1",0%,7%,7%,70%,16%,0,71%,86%,94%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q2",2%,5%,9%,65%,19%,0,68%,84%,92%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q3",0%,2%,12%,58%,28%,0,71%,86%,94%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q4",2%,0%,12%,51%,35%,0,71%,86%,94%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q5",2%,7%,12%,40%,40%,0,63%,79%,89%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q6",2%,0%,14%,56%,28%,0,68%,84%,92%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q7",5%,7%,19%,40%,30%,0,53%,70%,82%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q8",0%,7%,7%,49%,37%,0,71%,86%,94%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q9",0%,14%,19%,51%,16%,0,51%,67%,81%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q10",2%,12%,9%,60%,16%,0,61%,77%,88%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q11",2%,9%,9%,47%,33%,0,63%,79%,89%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q12",3%,15%,20%,48%,15%,3,45%,63%,77%,40,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q13",2%,7%,7%,48%,36%,1,68%,83%,92%,42,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q14",12%,14%,23%,23%,28%,0,35%,51%,67%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q15",9%,16%,9%,44%,21%,0,49%,65%,79%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q16",7%,19%,5%,35%,35%,0,53%,70%,82%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q17",2%,7%,2%,60%,28%,0,74%,88%,95%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q18",6%,3%,17%,54%,20%,8,56%,74%,87%,35,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q19",2%,2%,12%,40%,44%,0,68%,84%,92%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q20",2%,2%,9%,37%,49%,0,71%,86%,94%,43,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q21",5%,2%,17%,31%,45%,1,60%,76%,87%,42,65,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Q22",0%,12%,12%,40%,37%,0,61%,77%,88%,43,65,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q1",0%,4%,12%,52%,32%,0,63%,84%,94%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q2",4%,8%,16%,52%,20%,0,50%,72%,87%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q3",0%,4%,0%,48%,48%,0,78%,96%,99%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q4",4%,12%,0%,48%,36%,0,63%,84%,94%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q5",0%,8%,4%,38%,50%,1,67%,88%,96%,24,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q6",4%,4%,8%,36%,48%,0,63%,84%,94%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q7",8%,4%,0%,40%,48%,0,68%,88%,96%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q8",0%,8%,0%,36%,56%,0,73%,92%,98%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q9",0%,8%,8%,40%,44%,0,63%,84%,94%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q10",8%,8%,4%,20%,60%,0,59%,80%,92%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q11",8%,8%,0%,32%,52%,0,63%,84%,94%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q12",4%,17%,13%,21%,46%,1,45%,67%,83%,24,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q13",4%,12%,20%,44%,20%,0,43%,64%,81%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q14",0%,4%,13%,42%,42%,1,62%,83%,94%,24,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q15",4%,8%,13%,38%,38%,1,53%,75%,89%,24,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q16",0%,4%,0%,4%,92%,0,78%,96%,99%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q17",0%,0%,4%,20%,76%,0,78%,96%,99%,25,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q18",5%,0%,10%,24%,62%,4,63%,86%,96%,21,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q19",8%,0%,8%,13%,71%,1,62%,83%,94%,24,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q20",0%,4%,9%,13%,74%,2,65%,87%,96%,23,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q21",0%,8%,17%,13%,63%,1,53%,75%,89%,24,41,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Q22",0%,12%,4%,40%,44%,0,63%,84%,94%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q1",4%,4%,4%,60%,28%,0,68%,88%,96%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q2",0%,4%,16%,56%,24%,0,59%,80%,92%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q3",0%,0%,4%,56%,40%,0,78%,96%,99%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q4",0%,0%,8%,24%,68%,0,73%,92%,98%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q5",4%,8%,4%,40%,44%,0,63%,84%,94%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q6",4%,4%,12%,44%,36%,0,59%,80%,92%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q7",12%,24%,12%,28%,24%,0,32%,52%,72%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q8",0%,0%,0%,52%,48%,0,84%,100%,100%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q9",8%,8%,12%,36%,36%,0,50%,72%,87%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q10",0%,8%,4%,52%,36%,0,68%,88%,96%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q11",0%,0%,4%,52%,44%,0,78%,96%,99%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q12",0%,8%,13%,50%,29%,1,57%,79%,92%,24,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q13",0%,4%,0%,56%,40%,0,78%,96%,99%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q14",0%,12%,4%,44%,40%,0,63%,84%,94%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q15",4%,4%,8%,44%,40%,0,63%,84%,94%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q16",12%,24%,4%,48%,12%,0,39%,60%,78%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q17",4%,9%,17%,43%,26%,2,47%,70%,85%,23,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q18",0%,5%,21%,47%,26%,6,49%,74%,89%,19,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q19",0%,4%,12%,24%,60%,0,63%,84%,94%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q20",0%,0%,20%,20%,60%,0,59%,80%,92%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q21",0%,4%,24%,32%,40%,0,50%,72%,87%,25,41,"Y"
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Q22",4%,0%,8%,40%,48%,0,68%,88%,96%,25,41,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q1",0%,6%,18%,62%,15%,0,58%,76%,88%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q2",3%,9%,15%,56%,18%,0,55%,74%,86%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q3",0%,3%,9%,59%,29%,0,71%,88%,96%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q4",3%,6%,6%,47%,38%,0,68%,85%,94%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q5",24%,24%,15%,29%,9%,0,23%,38%,57%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q6",12%,3%,18%,58%,9%,1,48%,67%,81%,33,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q7",44%,24%,12%,15%,6%,0,10%,21%,39%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q8",41%,21%,21%,12%,6%,0,8%,18%,35%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q9",50%,21%,15%,12%,3%,0,6%,15%,32%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q10",9%,18%,26%,38%,9%,0,30%,47%,65%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q11",0%,18%,18%,55%,9%,1,45%,64%,79%,33,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q12",0%,21%,30%,48%,0%,1,31%,48%,66%,33,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q13",3%,9%,25%,53%,9%,2,43%,63%,78%,32,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q14",18%,29%,21%,29%,3%,0,18%,32%,51%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q15",38%,26%,15%,18%,3%,0,10%,21%,39%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q16",35%,32%,12%,18%,3%,0,10%,21%,39%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q17",15%,30%,18%,33%,3%,1,21%,36%,55%,33,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q18",9%,18%,41%,32%,0%,12,15%,32%,55%,22,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q19",6%,3%,12%,53%,26%,0,61%,79%,90%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q20",3%,3%,26%,44%,24%,0,49%,68%,82%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q21",3%,6%,21%,41%,29%,0,52%,71%,84%,34,55,"Y"
10000473,"AYLESBURY COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q22",6%,27%,18%,42%,6%,1,31%,48%,66%,33,55,"Y"
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q1",1%,3%,12%,63%,21%,0,72%,84%,91%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q2",0%,7%,16%,61%,15%,0,63%,76%,85%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q3",0%,6%,9%,52%,33%,0,73%,85%,92%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q4",0%,4%,7%,46%,42%,0,77%,88%,94%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q5",3%,4%,12%,45%,36%,0,68%,81%,89%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q6",5%,6%,14%,50%,26%,1,63%,76%,85%,66,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q7",4%,10%,15%,49%,21%,0,57%,70%,81%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q8",1%,3%,18%,42%,36%,0,65%,78%,87%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q9",1%,12%,25%,28%,33%,0,48%,61%,73%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q10",5%,8%,17%,50%,21%,1,58%,71%,82%,66,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q11",1%,9%,7%,46%,36%,0,70%,82%,90%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q12",6%,11%,15%,48%,20%,2,54%,68%,79%,65,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q13",3%,18%,10%,51%,18%,0,55%,69%,79%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q14",8%,11%,10%,51%,21%,4,58%,71%,82%,63,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q15",3%,9%,11%,55%,23%,1,64%,77%,86%,66,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q16",3%,7%,10%,42%,37%,0,67%,79%,88%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q17",6%,12%,16%,40%,25%,0,52%,66%,77%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q18",7%,9%,26%,43%,15%,13,43%,57%,71%,54,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q19",1%,3%,6%,55%,34%,0,79%,90%,95%,67,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q20",2%,2%,11%,47%,39%,1,75%,86%,93%,66,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q21",2%,5%,9%,48%,36%,1,73%,85%,92%,66,102,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Q22",3%,2%,5%,58%,32%,2,80%,91%,96%,65,102,
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q1",0%,0%,0%,54%,46%,0,84%,100%,100%,24,36,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q2",0%,0%,4%,54%,42%,0,77%,96%,99%,24,36,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q3",0%,0%,0%,33%,67%,0,84%,100%,100%,24,36,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q4",0%,0%,4%,29%,67%,0,77%,96%,99%,24,36,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q5",0%,0%,0%,67%,33%,0,84%,100%,100%,24,36,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q6",0%,4%,0%,38%,58%,0,77%,96%,99%,24,36,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Other undergraduate","Q7",0%,0%,13%,38%,50%,0,67%,88%,96%,24,36,"Y"
