"UKPRN","Institution","Subject","Level","Mode ","First class honours","Upper second class honours","Lower / undivided second class honours","Other honours / pass","Ordinary degree","Not subject to classification","Two years aggregate data?"
10000747,"BLACKBURN COLLEGE","(L3.96) Design studies","First degree","Full-time",10%,35%,45%,10%,0%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.18) Sports Science","First degree","Full-time",10%,45%,40%,10%,0%,0%,"Y"
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.35) Computer Science","First degree","Full-time",10%,15%,15%,60%,0%,0%,"Y"
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.63) Management studies","First degree","Part-time",5%,5%,5%,80%,0%,0%,"Y"
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.67) Tourism, Transport and Travel","First degree","Full-time",15%,35%,40%,15%,0%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.75) English studies","First degree","Full-time",25%,40%,40%,0%,0%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.96) Design studies","First degree","Full-time",20%,45%,30%,10%,0%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.100) Cinematics and Photography","First degree","Full-time",10%,30%,35%,25%,0%,0%,
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.69) Media studies","First degree","Full-time",40%,40%,20%,5%,0%,0%,"Y"
10000820,"THE BOURNEMOUTH AND POOLE COLLEGE","(L3.96) Design studies","First degree","Full-time",25%,40%,30%,5%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",15%,75%,10%,0%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","First degree","Full-time",29%,45%,26%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","First degree","Part-time",13%,25%,31%,26%,6%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.07) Nutrition","First degree","Full-time",10%,40%,45%,5%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",20%,65%,10%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.12) Biology","First degree","Full-time",5%,35%,50%,10%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.18) Sports Science","First degree","Full-time",5%,60%,33%,2%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.19) Psychology","First degree","Full-time",5%,35%,40%,20%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",5%,65%,25%,10%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.27) Forensic and Archaeological Science","First degree","Full-time",6%,63%,27%,3%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",5%,35%,45%,20%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",23%,46%,26%,5%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.36) General Engineering","First degree","Full-time",20%,60%,20%,5%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","First degree","Full-time",11%,61%,26%,3%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","First degree","Part-time",5%,45%,45%,5%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.59) Human and Social Geography","First degree","Full-time",5%,30%,55%,15%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.60) Law","First degree","Full-time",7%,61%,29%,2%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","First degree","Full-time",7%,53%,36%,3%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","First degree","Part-time",0%,50%,40%,10%,0%,0%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.62) Marketing","First degree","Full-time",5%,56%,37%,2%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.63) Management studies","First degree","Full-time",5%,50%,40%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.65) Finance","First degree","Full-time",5%,40%,50%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.66) Accounting","First degree","Full-time",8%,42%,44%,6%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.67) Tourism, Transport and Travel","First degree","Full-time",6%,56%,32%,6%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.69) Media studies","First degree","Full-time",6%,66%,26%,1%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.71) Publicity studies","First degree","Full-time",9%,53%,38%,0%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.73) Journalism","First degree","Full-time",14%,73%,12%,2%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.91) Archaeology","First degree","Full-time",6%,41%,45%,8%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.96) Design studies","First degree","Full-time",9%,48%,38%,4%,0%,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.101) Imaginative Writing","First degree","Full-time",5%,75%,25%,0%,0%,0%,
10000840,"BRADFORD COLLEGE","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",5%,35%,40%,20%,5%,0%,"Y"
10000840,"BRADFORD COLLEGE","(L3.35) Computer Science","First degree","Full-time",5%,15%,50%,30%,0%,0%,"Y"
10000840,"BRADFORD COLLEGE","(L3.58) Social Work","First degree","Full-time",10%,30%,40%,20%,0%,0%,
10000840,"BRADFORD COLLEGE","(L3.60) Law","First degree","Full-time",5%,20%,65%,10%,0%,0%,
10000840,"BRADFORD COLLEGE","(L3.61) Business studies","First degree","Full-time",5%,10%,50%,40%,0%,0%,
10000840,"BRADFORD COLLEGE","(L3.62) Marketing","First degree","Full-time",0%,15%,50%,30%,10%,0%,"Y"
10000840,"BRADFORD COLLEGE","(L3.95) Fine Art","First degree","Full-time",5%,45%,30%,20%,0%,0%,
10000840,"BRADFORD COLLEGE","(L3.96) Design studies","First degree","Full-time",19%,34%,40%,7%,0%,0%,
10000840,"BRADFORD COLLEGE","(L3.100) Cinematics and Photography","First degree","Full-time",20%,25%,35%,20%,0%,0%,"Y"
10000840,"BRADFORD COLLEGE","(L3.105) Academic studies in Education","First degree","Full-time",10%,30%,45%,20%,5%,0%,
10000840,"BRADFORD COLLEGE","(L3.108) Initial Teacher Training","First degree","Full-time",0%,30%,55%,15%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",8%,76%,16%,0%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.04) Pharmacology, Toxicology and Pharmacy","First degree","Full-time",22%,51%,26%,1%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","First degree","Full-time",24%,46%,20%,7%,3%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.05) Nursing","First degree","Part-time",40%,45%,10%,5%,5%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.06) Complementary Medicine","First degree","Full-time",5%,50%,30%,15%,0%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",15%,35%,40%,10%,0%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.11) Others in Subjects allied to Medicine","First degree","Part-time",10%,45%,30%,15%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.12) Biology","First degree","Full-time",21%,42%,29%,8%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.18) Sports Science","First degree","Full-time",9%,35%,43%,13%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.19) Psychology","First degree","Full-time",8%,50%,36%,5%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.25) Chemistry","First degree","Full-time",24%,36%,31%,9%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",11%,64%,24%,1%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.32) Mathematics and Statistics","First degree","Full-time",20%,40%,30%,10%,5%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.35) Computer Science","First degree","Full-time",8%,30%,46%,13%,4%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",0%,45%,25%,20%,5%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",10%,30%,45%,10%,5%,5%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.41) Civil Engineering","First degree","Full-time",25%,20%,50%,5%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.47) Architecture","First degree","Full-time",4%,33%,49%,14%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.48) Building","First degree","Full-time",22%,47%,28%,3%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.48) Building","First degree","Part-time",25%,30%,15%,25%,5%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.54) Sociology","First degree","Full-time",8%,52%,35%,5%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.55) Social Policy","First degree","Full-time",4%,49%,43%,4%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.60) Law","First degree","Full-time",20%,50%,25%,0%,5%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.61) Business studies","First degree","Full-time",8%,52%,37%,3%,1%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.62) Marketing","First degree","Full-time",10%,55%,30%,5%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.66) Accounting","First degree","Full-time",15%,40%,34%,7%,4%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.67) Tourism, Transport and Travel","First degree","Full-time",15%,50%,25%,7%,2%,1%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.69) Media studies","First degree","Full-time",7%,47%,41%,3%,1%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.70) Information Services","First degree","Full-time",15%,40%,45%,5%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.73) Journalism","First degree","Full-time",5%,55%,40%,0%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.75) English studies","First degree","Full-time",13%,62%,22%,2%,1%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.90) History","First degree","Full-time",5%,50%,45%,0%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.92) Others in Historical and Philosophical studies","First degree","Full-time",25%,40%,35%,0%,0%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.93) Philosophy","First degree","Full-time",25%,40%,35%,0%,0%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.95) Fine Art","First degree","Full-time",25%,52%,16%,7%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.96) Design studies","First degree","Full-time",13%,48%,34%,4%,1%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.97) Music","First degree","Full-time",20%,50%,20%,10%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.100) Cinematics and Photography","First degree","Full-time",16%,46%,34%,4%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.105) Academic studies in Education","First degree","Full-time",30%,40%,30%,0%,0%,0%,"Y"
10000886,"UNIVERSITY OF BRIGHTON","(L3.105) Academic studies in Education","First degree","Part-time",11%,50%,22%,0%,17%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.106) Others in Education","First degree","Full-time",5%,55%,40%,0%,0%,0%,
10000886,"UNIVERSITY OF BRIGHTON","(L3.108) Initial Teacher Training","First degree","Full-time",5%,46%,46%,2%,1%,0%,
10000948,"BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION","(L3.58) Social Work","First degree","Full-time",5%,30%,50%,20%,0%,0%,
10000952,"BROOKSBY MELTON COLLEGE","(L3.98) Drama","First degree","Full-time",0%,60%,40%,5%,0%,0%,"Y"
10000961,"BRUNEL UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",11%,77%,10%,2%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","First degree","Part-time",5%,70%,20%,5%,0%,0%,"Y"
10000961,"BRUNEL UNIVERSITY","(L3.05) Nursing","First degree","Full-time",25%,30%,40%,5%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.05) Nursing","First degree","Part-time",10%,60%,30%,0%,0%,0%,"Y"
10000961,"BRUNEL UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","First degree","Full-time",24%,49%,25%,3%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","First degree","Part-time",25%,45%,30%,0%,5%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.12) Biology","First degree","Full-time",11%,48%,41%,0%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.16) Molecular Biology, Biophysics and Biochemistry","First degree","Full-time",5%,55%,35%,5%,0%,0%,"Y"
10000961,"BRUNEL UNIVERSITY","(L3.18) Sports Science","First degree","Full-time",12%,53%,31%,4%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.19) Psychology","First degree","Full-time",9%,80%,10%,1%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.32) Mathematics and Statistics","First degree","Full-time",20%,40%,21%,15%,3%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",13%,37%,36%,14%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.37) Mechanical, Production and Manufacturing Engineering","First degree","Full-time",26%,38%,27%,9%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.38) Aerospace Engineering","First degree","Full-time",25%,40%,30%,5%,5%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.40) Electronic and Electrical Engineering","First degree","Full-time",14%,28%,46%,10%,2%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.52) Economics","First degree","Full-time",16%,53%,28%,2%,1%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.53) Politics","First degree","Full-time",5%,75%,20%,0%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.54) Sociology","First degree","Full-time",0%,75%,20%,5%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.56) Anthropology","First degree","Full-time",20%,55%,20%,5%,0%,0%,"Y"
10000961,"BRUNEL UNIVERSITY","(L3.58) Social Work","First degree","Full-time",10%,28%,51%,11%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.58) Social Work","First degree","Part-time",5%,45%,35%,15%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.60) Law","First degree","Full-time",7%,57%,35%,1%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.61) Business studies","First degree","Full-time",11%,57%,29%,3%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.69) Media studies","First degree","Full-time",5%,65%,30%,0%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.75) English studies","First degree","Full-time",15%,58%,26%,1%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.90) History","First degree","Full-time",5%,75%,20%,0%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.96) Design studies","First degree","Full-time",27%,59%,12%,1%,1%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.97) Music","First degree","Full-time",5%,75%,15%,5%,0%,0%,
10000961,"BRUNEL UNIVERSITY","(L3.98) Drama","First degree","Full-time",8%,52%,39%,0%,0%,0%,
