"UKPRN","Institution","Subject","Level","Mode","Continuing at institution","Gained intended award or higher","Gained other award at a lower level","Left without award","Dormant","Two years aggregate data?"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Postgraduate","Part-time",25%,0%,30%,25%,25%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","First degree","Full-time",94%,0%,0%,3%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Other undergraduate","Part-time",22%,67%,7%,2%,2%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.10) Medical Technology","Postgraduate","Part-time",40%,10%,20%,15%,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Part-time",20%,72%,1%,6%,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Full-time",75%,10%,5%,10%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Postgraduate","Part-time",65%,5%,0%,10%,25%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","First degree","Full-time",89%,0%,3%,3%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.16) Molecular Biology, Biophysics and Biochemistry","Other undergraduate","Full-time",90%,5%,5%,0%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","First degree","Full-time",80%,1%,9%,6%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","First degree","Full-time",80%,0%,15%,5%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Full-time",66%,14%,12%,3%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","First degree","Part-time",70%,0%,15%,5%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Other undergraduate","Full-time",70%,2%,13%,6%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","First degree","Full-time",75%,0%,10%,10%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Other undergraduate","Part-time",39%,32%,4%,22%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.40) Electronic and Electrical Engineering","Other undergraduate","Part-time",70%,10%,5%,10%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","First degree","Part-time",90%,0%,5%,0%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","Other undergraduate","Part-time",75%,5%,10%,5%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","First degree","Full-time",90%,0%,10%,5%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Other undergraduate","Full-time",66%,14%,4%,12%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Full-time",80%,10%,5%,0%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","First degree","Part-time",86%,2%,6%,3%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Other undergraduate","Full-time",65%,5%,25%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Other undergraduate","Part-time",64%,15%,6%,3%,11%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Postgraduate","Part-time",85%,0%,15%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","First degree","Full-time",80%,0%,5%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","First degree","Full-time",75%,10%,7%,4%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Other undergraduate","Full-time",85%,0%,5%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","First degree","Full-time",82%,0%,11%,5%,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Other undergraduate","Part-time",11%,79%,3%,4%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Postgraduate","Full-time",95%,0%,0%,5%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Postgraduate","Part-time",45%,5%,30%,10%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","First degree","Full-time",83%,0%,2%,7%,7%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Other undergraduate","Full-time",0%,95%,0%,5%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Other undergraduate","Part-time",70%,15%,0%,10%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","First degree","Full-time",51%,33%,6%,6%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Other undergraduate","Full-time",29%,38%,19%,11%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Other undergraduate","Part-time",17%,74%,2%,6%,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Postgraduate","Full-time",57%,17%,2%,15%,8%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Postgraduate","Part-time",30%,45%,5%,15%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.62) Marketing","First degree","Full-time",80%,5%,0%,15%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.63) Management studies","First degree","Full-time",55%,20%,10%,15%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.64) Human Resource Management","Other undergraduate","Part-time",6%,92%,0%,2%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.66) Accounting","First degree","Full-time",80%,0%,15%,5%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","First degree","Full-time",83%,0%,9%,5%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","First degree","Full-time",65%,10%,15%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","First degree","Full-time",78%,7%,5%,5%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Other undergraduate","Full-time",10%,55%,5%,20%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Postgraduate","Part-time",70%,10%,5%,5%,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.83) Others in European Languages and Area studies","Other undergraduate","Part-time",0%,85%,0%,15%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","First degree","Full-time",85%,0%,0%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","First degree","Full-time",75%,5%,15%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","First degree","Part-time",90%,0%,10%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Postgraduate","Part-time",85%,0%,5%,0%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","First degree","Full-time",79%,2%,13%,3%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","First degree","Full-time",75%,0%,10%,10%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","First degree","Full-time",80%,0%,10%,8%,2%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","First degree","Full-time",65%,0%,20%,10%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Other undergraduate","Full-time",90%,0%,5%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.102) Others in Creative Arts and Design","First degree","Full-time",80%,0%,10%,5%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","First degree","Full-time",60%,0%,20%,15%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","First degree","Part-time",75%,0%,5%,15%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Full-time",33%,58%,4%,2%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Other undergraduate","Part-time",52%,28%,9%,8%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Postgraduate","Part-time",47%,4%,2%,39%,8%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.106) Others in Education","First degree","Full-time",75%,0%,5%,20%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","First degree","Full-time",88%,0%,4%,6%,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",25%,65%,3%,6%,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Postgraduate","Full-time",1%,91%,4%,5%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","First degree","Full-time",85%,5%,5%,10%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","First degree","Full-time",81%,0%,4%,13%,2%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","First degree","Full-time",79%,15%,0%,5%,1%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","Other undergraduate","Full-time",88%,1%,0%,8%,3%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.98) Drama","First degree","Full-time",93%,0%,1%,6%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.100) Cinematics and Photography","First degree","Full-time",79%,11%,1%,4%,5%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.100) Cinematics and Photography","Other undergraduate","Full-time",85%,5%,5%,10%,5%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",85%,5%,0%,5%,5%,
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Part-time",75%,0%,0%,10%,15%,
10000415,"ASKHAM BRYAN COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Other undergraduate","Full-time",60%,6%,0%,30%,3%,
10000415,"ASKHAM BRYAN COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Other undergraduate","Part-time",65%,0%,0%,35%,0%,
10000415,"ASKHAM BRYAN COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",5%,80%,0%,0%,20%,
10000473,"AYLESBURY COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",35%,40%,0%,10%,20%,
10000528,"BARKING AND DAGENHAM COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",35%,15%,5%,50%,0%,
10000528,"BARKING AND DAGENHAM COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",25%,55%,0%,15%,0%,
10000528,"BARKING AND DAGENHAM COLLEGE","(L3.103) Teacher Training","Other undergraduate","Part-time",65%,20%,0%,0%,15%,
10000533,"BARNET COLLEGE","(L3.61) Business studies","Other undergraduate","Full-time",90%,0%,0%,5%,5%,
10000533,"BARNET COLLEGE","(L3.61) Business studies","Other undergraduate","Part-time",65%,0%,0%,30%,5%,
10000533,"BARNET COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",90%,0%,0%,5%,5%,
10000534,"BARNFIELD COLLEGE","(L3.66) Accounting","Other undergraduate","Part-time",70%,0%,0%,0%,30%,
10000534,"BARNFIELD COLLEGE","(L3.98) Drama","Other undergraduate","Full-time",75%,0%,0%,20%,10%,
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY","(L3.106) Others in Education","Other undergraduate","Part-time",50%,20%,0%,35%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.07) Nutrition","First degree","Full-time",95%,0%,0%,5%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.19) Psychology","First degree","Full-time",91%,0%,0%,8%,1%,
10000571,"BATH SPA UNIVERSITY","(L3.31) Physical Geography and Environmental Science","First degree","Full-time",90%,0%,0%,10%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.32) Mathematics and Statistics","Other undergraduate","Full-time",0%,80%,0%,20%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.54) Sociology","First degree","Full-time",80%,0%,0%,15%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.61) Business studies","First degree","Full-time",80%,6%,0%,14%,1%,
10000571,"BATH SPA UNIVERSITY","(L3.69) Media studies","First degree","Full-time",90%,0%,0%,8%,1%,
10000571,"BATH SPA UNIVERSITY","(L3.75) English studies","First degree","Full-time",86%,0%,1%,12%,1%,
10000571,"BATH SPA UNIVERSITY","(L3.75) English studies","Postgraduate","Full-time",98%,0%,0%,0%,2%,
10000571,"BATH SPA UNIVERSITY","(L3.90) History","First degree","Full-time",92%,0%,0%,8%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.95) Fine Art","First degree","Full-time",95%,0%,0%,3%,2%,
10000571,"BATH SPA UNIVERSITY","(L3.96) Design studies","First degree","Full-time",77%,12%,1%,9%,2%,
10000571,"BATH SPA UNIVERSITY","(L3.96) Design studies","Other undergraduate","Full-time",76%,0%,0%,18%,6%,
10000571,"BATH SPA UNIVERSITY","(L3.97) Music","First degree","Full-time",63%,31%,0%,6%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.97) Music","Other undergraduate","Full-time",89%,0%,0%,11%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.98) Drama","First degree","Full-time",74%,16%,0%,10%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.98) Drama","Other undergraduate","Full-time",95%,0%,0%,5%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.99) Dance","First degree","Full-time",100%,0%,0%,0%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.101) Imaginative Writing","First degree","Full-time",90%,0%,0%,10%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.102) Others in Creative Arts and Design","First degree","Full-time",60%,25%,0%,10%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.103) Teacher Training","Postgraduate","Part-time",78%,0%,0%,3%,19%,
10000571,"BATH SPA UNIVERSITY","(L3.105) Academic studies in Education","First degree","Full-time",71%,23%,0%,6%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.105) Academic studies in Education","Other undergraduate","Full-time",90%,0%,0%,8%,2%,
10000571,"BATH SPA UNIVERSITY","(L3.106) Others in Education","Other undergraduate","Full-time",95%,0%,0%,5%,0%,
10000571,"BATH SPA UNIVERSITY","(L3.107) Combined","Other undergraduate","Full-time",5%,55%,30%,10%,5%,
10000571,"BATH SPA UNIVERSITY","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",44%,32%,2%,17%,4%,
10000571,"BATH SPA UNIVERSITY","(L3.108) Initial Teacher Training","Postgraduate","Full-time",16%,75%,0%,8%,1%,
10000610,"BEDFORD COLLEGE","(L3.40) Electronic and Electrical Engineering","Other undergraduate","Part-time",60%,25%,0%,15%,0%,
10000610,"BEDFORD COLLEGE","(L3.66) Accounting","Other undergraduate","Part-time",10%,0%,0%,0%,90%,
10000610,"BEDFORD COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",80%,0%,0%,20%,0%,
10000654,"BERKSHIRE COLLEGE OF AGRICULTURE","(L3.21) Animal Science","Other undergraduate","Full-time",70%,0%,0%,10%,25%,
10000671,"BEXLEY COLLEGE","(L3.48) Building","Other undergraduate","Full-time",65%,5%,0%,20%,10%,
10000671,"BEXLEY COLLEGE","(L3.48) Building","Other undergraduate","Part-time",73%,3%,0%,19%,4%,
10000671,"BEXLEY COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",47%,37%,10%,3%,3%,
10000683,"BICTON COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",85%,0%,0%,5%,10%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.03) Anatomy, Physiology and Pathology","First degree","Full-time",72%,15%,0%,9%,4%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.03) Anatomy, Physiology and Pathology","Other undergraduate","Full-time",80%,0%,0%,10%,15%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.23) Food and Beverage studies","First degree","Full-time",72%,21%,0%,4%,4%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.23) Food and Beverage studies","Other undergraduate","Full-time",71%,0%,0%,19%,10%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.40) Electronic and Electrical Engineering","Other undergraduate","Full-time",0%,17%,0%,2%,81%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.58) Social Work","Other undergraduate","Part-time",60%,0%,0%,15%,30%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.61) Business studies","First degree","Full-time",25%,65%,0%,5%,5%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.61) Business studies","Other undergraduate","Full-time",70%,5%,0%,10%,15%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.62) Marketing","First degree","Full-time",65%,25%,0%,10%,5%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","First degree","Full-time",58%,26%,0%,8%,8%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","Other undergraduate","Full-time",74%,6%,0%,11%,9%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","Other undergraduate","Part-time",29%,22%,0%,29%,20%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","Postgraduate","Full-time",42%,48%,0%,2%,8%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","Postgraduate","Part-time",55%,35%,0%,0%,5%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.102) Others in Creative Arts and Design","Other undergraduate","Full-time",65%,6%,0%,13%,16%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","First degree","Full-time",71%,22%,0%,3%,4%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","First degree","Part-time",95%,0%,0%,0%,5%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Full-time",85%,0%,0%,10%,5%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Other undergraduate","Part-time",72%,3%,0%,9%,17%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.108) Initial Teacher Training","Postgraduate","Full-time",0%,90%,0%,10%,0%,
10000720,"BISHOP AUCKLAND COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",65%,10%,15%,0%,5%,
10000721,"BISHOP BURTON COLLEGE","(L3.18) Sports Science","Other undergraduate","Full-time",85%,0%,0%,15%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Full-time",35%,55%,0%,10%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","First degree","Part-time",5%,95%,0%,0%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Other undergraduate","Full-time",73%,1%,0%,26%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Other undergraduate","Part-time",57%,4%,0%,38%,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.106) Others in Education","Other undergraduate","Part-time",75%,0%,0%,25%,0%,
10000747,"BLACKBURN COLLEGE","(L3.36) General Engineering","Other undergraduate","Part-time",80%,20%,5%,0%,0%,
10000747,"BLACKBURN COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Part-time",83%,8%,0%,9%,0%,
10000747,"BLACKBURN COLLEGE","(L3.40) Electronic and Electrical Engineering","Other undergraduate","Part-time",80%,10%,0%,10%,0%,
10000747,"BLACKBURN COLLEGE","(L3.46) Others in Technology","Other undergraduate","Part-time",0%,0%,0%,100%,0%,
10000747,"BLACKBURN COLLEGE","(L3.48) Building","Other undergraduate","Full-time",0%,0%,0%,100%,0%,
10000747,"BLACKBURN COLLEGE","(L3.48) Building","Other undergraduate","Part-time",0%,5%,0%,95%,0%,
10000747,"BLACKBURN COLLEGE","(L3.54) Sociology","First degree","Full-time",70%,15%,0%,15%,0%,
10000747,"BLACKBURN COLLEGE","(L3.54) Sociology","Other undergraduate","Full-time",65%,0%,0%,30%,0%,
10000747,"BLACKBURN COLLEGE","(L3.58) Social Work","Other undergraduate","Full-time",65%,2%,0%,33%,0%,
10000747,"BLACKBURN COLLEGE","(L3.60) Law","First degree","Full-time",70%,0%,0%,30%,0%,
10000747,"BLACKBURN COLLEGE","(L3.61) Business studies","Other undergraduate","Full-time",70%,0%,0%,30%,0%,
10000747,"BLACKBURN COLLEGE","(L3.61) Business studies","Other undergraduate","Part-time",70%,5%,0%,25%,0%,
10000747,"BLACKBURN COLLEGE","(L3.63) Management studies","Other undergraduate","Part-time",83%,4%,0%,13%,0%,
10000747,"BLACKBURN COLLEGE","(L3.67) Tourism, Transport and Travel","Other undergraduate","Full-time",55%,0%,0%,45%,0%,
10000747,"BLACKBURN COLLEGE","(L3.96) Design studies","First degree","Full-time",40%,50%,0%,10%,0%,
10000747,"BLACKBURN COLLEGE","(L3.96) Design studies","Other undergraduate","Full-time",75%,0%,5%,25%,0%,
10000747,"BLACKBURN COLLEGE","(L3.103) Teacher Training","Other undergraduate","Part-time",85%,0%,0%,15%,0%,
10000747,"BLACKBURN COLLEGE","(L3.103) Teacher Training","Postgraduate","Part-time",75%,0%,0%,25%,0%,
10000747,"BLACKBURN COLLEGE","(L3.106) Others in Education","Other undergraduate","Part-time",54%,0%,0%,46%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.11) Others in Subjects allied to Medicine","Other undergraduate","Full-time",30%,0%,0%,70%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.18) Sports Science","Other undergraduate","Full-time",60%,0%,0%,40%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.35) Computer Science","First degree","Full-time",30%,40%,0%,35%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.35) Computer Science","Other undergraduate","Full-time",36%,2%,0%,62%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.35) Computer Science","Other undergraduate","Part-time",10%,20%,0%,70%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.37) Mechanical, Production and Manufacturing Engineering","Other undergraduate","Part-time",55%,0%,0%,40%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.45) Maritime Technology","Other undergraduate","Full-time",23%,38%,0%,39%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.54) Sociology","Other undergraduate","Full-time",60%,0%,0%,40%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.58) Social Work","Other undergraduate","Full-time",65%,5%,0%,30%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.58) Social Work","Other undergraduate","Part-time",70%,5%,0%,30%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.63) Management studies","Other undergraduate","Part-time",75%,0%,0%,25%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.67) Tourism, Transport and Travel","Other undergraduate","Full-time",45%,0%,0%,55%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.75) English studies","First degree","Full-time",40%,50%,0%,10%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.96) Design studies","First degree","Full-time",70%,0%,0%,30%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.98) Drama","Other undergraduate","Full-time",60%,5%,0%,40%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.100) Cinematics and Photography","First degree","Full-time",79%,0%,0%,21%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.102) Others in Creative Arts and Design","Other undergraduate","Full-time",60%,0%,0%,40%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.105) Academic studies in Education","Postgraduate","Full-time",0%,89%,0%,11%,0%,
10000754,"BLACKPOOL AND THE FYLDE COLLEGE","(L3.105) Academic studies in Education","Postgraduate","Part-time",0%,5%,0%,90%,0%,
10000794,"BOLTON COLLEGE","(L3.41) Civil Engineering","Other undergraduate","Part-time",95%,0%,0%,5%,0%,
10000794,"BOLTON COLLEGE","(L3.108) Initial Teacher Training","Other undergraduate","Part-time",40%,53%,0%,7%,0%,
