"UKPRN","Institution Name","Subject","Full-time","Part-time","Postgraduate","First Degree","Other Undergraduate","Two years aggregate data?"
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.27) Forensic and Archaeological Science",73%,27%,32%,68%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.35) Computer Science",70%,30%,8%,78%,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.36) General Engineering",41%,59%,3%,44%,52%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.37) Mechanical, Production and Manufacturing Engineering",70%,30%,0%,70%,30%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.40) Electronic and Electrical Engineering",30%,70%,0%,45%,55%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.41) Civil Engineering",35%,65%,0%,44%,56%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.43) Others in Engineering",0%,100%,0%,0%,100%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.46) Others in Technology",90%,10%,0%,65%,35%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.47) Architecture",85%,15%,0%,100%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.48) Building",18%,82%,2%,54%,44%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.50) Planning (Urban, Rural and Regional)",22%,78%,47%,33%,20%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.51) Others in Architecture, Building and Planning",0%,100%,4%,70%,26%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.52) Economics",97%,3%,26%,74%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.54) Sociology",95%,5%,4%,96%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.55) Social Policy",96%,4%,0%,80%,20%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.58) Social Work",56%,44%,10%,61%,29%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.60) Law",81%,19%,11%,70%,19%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.61) Business studies",74%,26%,18%,59%,23%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.62) Marketing",85%,15%,5%,85%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.63) Management studies",88%,12%,7%,71%,22%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.64) Human Resource Management",24%,76%,56%,12%,32%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.66) Accounting",30%,70%,3%,28%,69%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.69) Media studies",97%,3%,2%,98%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.71) Publicity studies",95%,5%,0%,93%,7%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.75) English studies",87%,13%,10%,84%,6%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.83) Others in European Languages and Area studies",61%,39%,47%,25%,28%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.84) Linguistics",70%,35%,100%,0%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.90) History",90%,10%,5%,89%,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.92) Others in Historical and Philosophical studies",75%,25%,10%,80%,10%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.93) Philosophy",95%,5%,0%,100%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.94) Theology and Religious studies",25%,75%,36%,49%,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.96) Design studies",83%,17%,20%,78%,2%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.97) Music",94%,6%,1%,95%,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.98) Drama",99%,1%,10%,90%,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.100) Cinematics and Photography",86%,14%,0%,50%,50%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.102) Others in Creative Arts and Design",89%,11%,4%,96%,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.103) Teacher Training",17%,83%,31%,16%,53%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.106) Others in Education",5%,95%,80%,5%,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.107) Combined",25%,75%,100%,0%,0%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY"," (L3.108) Initial Teacher Training",96%,4%,32%,68%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.47) Architecture",100%,0%,0%,100%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.67) Tourism, Transport and Travel",100%,0%,0%,100%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.95) Fine Art",76%,24%,0%,100%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.96) Design studies",100%,0%,0%,68%,32%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.98) Drama",100%,0%,0%,100%,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.100) Cinematics and Photography",97%,3%,0%,84%,16%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.102) Others in Creative Arts and Design",100%,0%,100%,0%,0%,"Y"
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000409,"ASHTON-UNDER-LYNE SIXTH FORM COLLEGE"," (L3.103) Teacher Training",0%,100%,0%,0%,100%,
10000415,"ASKHAM BRYAN COLLEGE"," (L3.13) Zoology",100%,0%,0%,100%,0%,"Y"
10000415,"ASKHAM BRYAN COLLEGE"," (L3.21) Animal Science",100%,0%,0%,0%,100%,"Y"
10000415,"ASKHAM BRYAN COLLEGE"," (L3.22) Forestry",55%,45%,0%,0%,100%,"Y"
10000415,"ASKHAM BRYAN COLLEGE"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",63%,37%,0%,7%,93%,
10000415,"ASKHAM BRYAN COLLEGE"," (L3.35) Computer Science",75%,25%,0%,0%,100%,"Y"
10000415,"ASKHAM BRYAN COLLEGE"," (L3.63) Management studies",95%,5%,0%,95%,5%,"Y"
10000473,"AYLESBURY COLLEGE"," (L3.35) Computer Science",100%,0%,0%,0%,100%,"Y"
10000473,"AYLESBURY COLLEGE"," (L3.63) Management studies",55%,45%,0%,0%,100%,"Y"
10000473,"AYLESBURY COLLEGE"," (L3.105) Academic studies in Education",0%,100%,0%,0%,100%,
10000473,"AYLESBURY COLLEGE"," (L3.106) Others in Education",100%,0%,0%,0%,100%,
10000473,"AYLESBURY COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.35) Computer Science",90%,10%,0%,0%,100%,
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.48) Building",0%,100%,0%,0%,100%,
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.61) Business studies",25%,75%,15%,90%,0%,"Y"
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.68) Others in Business and Administrative studies",40%,60%,0%,0%,100%,
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.95) Fine Art",100%,0%,0%,0%,100%,"Y"
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.96) Design studies",90%,10%,0%,0%,100%,
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.98) Drama",100%,0%,0%,0%,100%,"Y"
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.100) Cinematics and Photography",60%,40%,0%,0%,100%,
10000528,"BARKING AND DAGENHAM COLLEGE"," (L3.103) Teacher Training",0%,100%,0%,0%,100%,
10000533,"BARNET COLLEGE"," (L3.35) Computer Science",90%,10%,0%,0%,100%,
10000533,"BARNET COLLEGE"," (L3.36) General Engineering",85%,15%,0%,100%,0%,"Y"
10000533,"BARNET COLLEGE"," (L3.61) Business studies",54%,46%,0%,2%,98%,
10000533,"BARNET COLLEGE"," (L3.69) Media studies",75%,25%,0%,0%,100%,
10000533,"BARNET COLLEGE"," (L3.96) Design studies",80%,20%,0%,0%,100%,
10000533,"BARNET COLLEGE"," (L3.98) Drama",100%,0%,0%,0%,100%,
10000534,"BARNFIELD COLLEGE"," (L3.03) Anatomy, Physiology and Pathology",100%,0%,0%,0%,100%,"Y"
10000534,"BARNFIELD COLLEGE"," (L3.18) Sports Science",100%,0%,0%,0%,100%,"Y"
10000534,"BARNFIELD COLLEGE"," (L3.35) Computer Science",54%,46%,0%,0%,100%,
10000534,"BARNFIELD COLLEGE"," (L3.48) Building",15%,85%,0%,0%,100%,
10000534,"BARNFIELD COLLEGE"," (L3.66) Accounting",2%,98%,0%,0%,100%,
10000534,"BARNFIELD COLLEGE"," (L3.96) Design studies",70%,30%,0%,0%,100%,"Y"
10000534,"BARNFIELD COLLEGE"," (L3.98) Drama",100%,0%,0%,0%,100%,
10000534,"BARNFIELD COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000546,"BARROW-IN-FURNESS SIXTH FORM COLLEGE"," (L3.35) Computer Science",30%,70%,0%,0%,100%,
10000546,"BARROW-IN-FURNESS SIXTH FORM COLLEGE"," (L3.36) General Engineering",0%,100%,0%,0%,100%,
10000546,"BARROW-IN-FURNESS SIXTH FORM COLLEGE"," (L3.40) Electronic and Electrical Engineering",15%,85%,0%,0%,100%,
10000546,"BARROW-IN-FURNESS SIXTH FORM COLLEGE"," (L3.105) Academic studies in Education",45%,55%,0%,0%,100%,
10000546,"BARROW-IN-FURNESS SIXTH FORM COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,30%,0%,70%,
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY"," (L3.18) Sports Science",100%,0%,0%,0%,100%,"Y"
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY"," (L3.35) Computer Science",65%,35%,0%,0%,100%,
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY"," (L3.48) Building",0%,100%,0%,0%,100%,
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY"," (L3.68) Others in Business and Administrative studies",25%,75%,0%,0%,100%,
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY"," (L3.96) Design studies",100%,0%,0%,100%,0%,
10000560,"BASINGSTOKE COLLEGE OF TECHNOLOGY"," (L3.106) Others in Education",0%,100%,0%,0%,100%,
10000571,"BATH SPA UNIVERSITY"," (L3.07) Nutrition",94%,6%,1%,96%,3%,
10000571,"BATH SPA UNIVERSITY"," (L3.11) Others in Subjects allied to Medicine",20%,80%,25%,20%,55%,
10000571,"BATH SPA UNIVERSITY"," (L3.12) Biology",76%,24%,19%,80%,2%,
10000571,"BATH SPA UNIVERSITY"," (L3.19) Psychology",96%,4%,0%,95%,5%,
10000571,"BATH SPA UNIVERSITY"," (L3.26) Physics and Astronomy",90%,10%,10%,0%,90%,
10000571,"BATH SPA UNIVERSITY"," (L3.31) Physical Geography and Environmental Science",95%,5%,1%,91%,8%,
10000571,"BATH SPA UNIVERSITY"," (L3.32) Mathematics and Statistics",100%,0%,0%,0%,100%,
10000571,"BATH SPA UNIVERSITY"," (L3.46) Others in Technology",90%,10%,14%,49%,37%,
10000571,"BATH SPA UNIVERSITY"," (L3.54) Sociology",94%,6%,1%,96%,3%,
10000571,"BATH SPA UNIVERSITY"," (L3.61) Business studies",95%,5%,0%,97%,3%,
10000571,"BATH SPA UNIVERSITY"," (L3.63) Management studies",100%,0%,15%,0%,85%,
10000571,"BATH SPA UNIVERSITY"," (L3.67) Tourism, Transport and Travel",96%,4%,0%,61%,39%,
10000571,"BATH SPA UNIVERSITY"," (L3.69) Media studies",97%,3%,0%,82%,17%,
10000571,"BATH SPA UNIVERSITY"," (L3.75) English studies",95%,5%,5%,92%,2%,
10000571,"BATH SPA UNIVERSITY"," (L3.90) History",96%,4%,2%,95%,2%,
10000571,"BATH SPA UNIVERSITY"," (L3.92) Others in Historical and Philosophical studies",96%,4%,0%,93%,7%,
10000571,"BATH SPA UNIVERSITY"," (L3.93) Philosophy",100%,0%,0%,95%,5%,
10000571,"BATH SPA UNIVERSITY"," (L3.94) Theology and Religious studies",91%,9%,7%,90%,3%,
10000571,"BATH SPA UNIVERSITY"," (L3.95) Fine Art",85%,15%,12%,87%,1%,
10000571,"BATH SPA UNIVERSITY"," (L3.96) Design studies",90%,10%,9%,70%,21%,
10000571,"BATH SPA UNIVERSITY"," (L3.97) Music",96%,4%,9%,48%,43%,
10000571,"BATH SPA UNIVERSITY"," (L3.98) Drama",98%,2%,0%,68%,32%,
10000571,"BATH SPA UNIVERSITY"," (L3.99) Dance",95%,5%,0%,100%,0%,
10000571,"BATH SPA UNIVERSITY"," (L3.101) Imaginative Writing",92%,8%,32%,65%,3%,
10000571,"BATH SPA UNIVERSITY"," (L3.102) Others in Creative Arts and Design",62%,38%,0%,25%,75%,
10000571,"BATH SPA UNIVERSITY"," (L3.103) Teacher Training",0%,100%,100%,0%,0%,
10000571,"BATH SPA UNIVERSITY"," (L3.104) Research and Study Skills in Education",0%,100%,100%,0%,0%,"Y"
10000571,"BATH SPA UNIVERSITY"," (L3.105) Academic studies in Education",25%,75%,72%,17%,11%,
10000571,"BATH SPA UNIVERSITY"," (L3.106) Others in Education",100%,0%,0%,0%,100%,
10000571,"BATH SPA UNIVERSITY"," (L3.107) Combined",90%,10%,0%,0%,100%,
10000571,"BATH SPA UNIVERSITY"," (L3.108) Initial Teacher Training",66%,34%,73%,0%,27%,
10000610,"BEDFORD COLLEGE"," (L3.19) Psychology",100%,0%,0%,5%,95%,"Y"
10000610,"BEDFORD COLLEGE"," (L3.35) Computer Science",40%,60%,0%,0%,100%,"Y"
10000610,"BEDFORD COLLEGE"," (L3.36) General Engineering",0%,100%,0%,0%,100%,"Y"
10000610,"BEDFORD COLLEGE"," (L3.37) Mechanical, Production and Manufacturing Engineering",5%,95%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.40) Electronic and Electrical Engineering",13%,88%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.58) Social Work",100%,0%,0%,0%,100%,"Y"
10000610,"BEDFORD COLLEGE"," (L3.61) Business studies",45%,55%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.66) Accounting",71%,29%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.67) Tourism, Transport and Travel",27%,73%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.95) Fine Art",65%,35%,0%,0%,100%,"Y"
10000610,"BEDFORD COLLEGE"," (L3.96) Design studies",90%,10%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.98) Drama",100%,0%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.103) Teacher Training",0%,100%,0%,0%,100%,
10000610,"BEDFORD COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000654,"BERKSHIRE COLLEGE OF AGRICULTURE"," (L3.18) Sports Science",95%,5%,0%,0%,100%,
10000654,"BERKSHIRE COLLEGE OF AGRICULTURE"," (L3.21) Animal Science",91%,9%,0%,15%,85%,
10000654,"BERKSHIRE COLLEGE OF AGRICULTURE"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",100%,0%,0%,0%,100%,"Y"
10000654,"BERKSHIRE COLLEGE OF AGRICULTURE"," (L3.49) Landscape Design",0%,100%,0%,0%,100%,"Y"
10000670,"BEXHILL COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000671,"BEXLEY COLLEGE"," (L3.35) Computer Science",95%,5%,0%,0%,100%,"Y"
10000671,"BEXLEY COLLEGE"," (L3.47) Architecture",65%,40%,0%,0%,100%,
10000671,"BEXLEY COLLEGE"," (L3.48) Building",27%,73%,0%,0%,100%,
10000671,"BEXLEY COLLEGE"," (L3.61) Business studies",100%,0%,0%,25%,75%,
10000671,"BEXLEY COLLEGE"," (L3.67) Tourism, Transport and Travel",100%,0%,0%,25%,75%,"Y"
10000671,"BEXLEY COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000683,"BICTON COLLEGE"," (L3.21) Animal Science",100%,0%,0%,5%,95%,
10000683,"BICTON COLLEGE"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",90%,10%,0%,5%,95%,
10000683,"BICTON COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,0%,0%,100%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.03) Anatomy, Physiology and Pathology",97%,3%,0%,75%,25%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.11) Others in Subjects allied to Medicine",91%,9%,0%,1%,99%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.23) Food and Beverage studies",99%,1%,0%,64%,36%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.40) Electronic and Electrical Engineering",100%,0%,0%,100%,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.48) Building",19%,81%,0%,45%,55%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.58) Social Work",32%,68%,0%,22%,78%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.61) Business studies",90%,10%,0%,57%,43%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.62) Marketing",79%,21%,0%,70%,30%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.63) Management studies",0%,100%,0%,0%,100%,"Y"
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.67) Tourism, Transport and Travel",90%,10%,22%,52%,26%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.102) Others in Creative Arts and Design",97%,3%,0%,32%,68%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.105) Academic studies in Education",42%,58%,5%,42%,53%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.106) Others in Education",0%,100%,0%,0%,100%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM"," (L3.108) Initial Teacher Training",100%,0%,100%,0%,0%,
10000720,"BISHOP AUCKLAND COLLEGE"," (L3.58) Social Work",0%,100%,0%,0%,100%,
10000720,"BISHOP AUCKLAND COLLEGE"," (L3.103) Teacher Training",0%,100%,0%,0%,100%,"Y"
10000720,"BISHOP AUCKLAND COLLEGE"," (L3.105) Academic studies in Education",0%,100%,0%,30%,70%,
10000720,"BISHOP AUCKLAND COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,25%,0%,75%,
10000721,"BISHOP BURTON COLLEGE"," (L3.12) Biology",82%,18%,0%,96%,4%,
10000721,"BISHOP BURTON COLLEGE"," (L3.18) Sports Science",100%,0%,0%,0%,100%,"Y"
10000721,"BISHOP BURTON COLLEGE"," (L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects",47%,53%,0%,18%,82%,
10000721,"BISHOP BURTON COLLEGE"," (L3.49) Landscape Design",0%,100%,0%,0%,100%,"Y"
10000721,"BISHOP BURTON COLLEGE"," (L3.55) Social Policy",100%,0%,0%,0%,100%,
10000721,"BISHOP BURTON COLLEGE"," (L3.61) Business studies",80%,20%,0%,100%,0%,
10000721,"BISHOP BURTON COLLEGE"," (L3.67) Tourism, Transport and Travel",100%,0%,0%,30%,70%,
10000721,"BISHOP BURTON COLLEGE"," (L3.96) Design studies",100%,0%,0%,25%,75%,
10000721,"BISHOP BURTON COLLEGE"," (L3.103) Teacher Training",0%,100%,100%,0%,0%,
10000721,"BISHOP BURTON COLLEGE"," (L3.106) Others in Education",0%,100%,10%,16%,74%,
10000721,"BISHOP BURTON COLLEGE"," (L3.107) Combined",0%,100%,0%,0%,100%,
10000721,"BISHOP BURTON COLLEGE"," (L3.108) Initial Teacher Training",0%,100%,55%,0%,45%,
10000747,"BLACKBURN COLLEGE"," (L3.18) Sports Science",100%,0%,0%,0%,100%,
10000747,"BLACKBURN COLLEGE"," (L3.19) Psychology",90%,10%,0%,100%,0%,
10000747,"BLACKBURN COLLEGE"," (L3.35) Computer Science",63%,37%,0%,41%,59%,
10000747,"BLACKBURN COLLEGE"," (L3.36) General Engineering",19%,81%,0%,32%,68%,
10000747,"BLACKBURN COLLEGE"," (L3.37) Mechanical, Production and Manufacturing Engineering",3%,97%,0%,9%,91%,
10000747,"BLACKBURN COLLEGE"," (L3.40) Electronic and Electrical Engineering",1%,99%,0%,0%,100%,
10000747,"BLACKBURN COLLEGE"," (L3.48) Building",34%,66%,0%,0%,100%,
10000747,"BLACKBURN COLLEGE"," (L3.50) Planning (Urban, Rural and Regional)",100%,0%,0%,15%,85%,
10000747,"BLACKBURN COLLEGE"," (L3.53) Politics",95%,5%,0%,10%,90%,
10000747,"BLACKBURN COLLEGE"," (L3.54) Sociology",84%,16%,0%,58%,42%,
10000747,"BLACKBURN COLLEGE"," (L3.58) Social Work",98%,2%,0%,3%,97%,
10000747,"BLACKBURN COLLEGE"," (L3.60) Law",68%,32%,0%,86%,14%,
10000747,"BLACKBURN COLLEGE"," (L3.61) Business studies",56%,44%,13%,30%,58%,
10000747,"BLACKBURN COLLEGE"," (L3.63) Management studies",32%,68%,0%,26%,74%,
10000747,"BLACKBURN COLLEGE"," (L3.65) Finance",100%,0%,0%,0%,100%,
10000747,"BLACKBURN COLLEGE"," (L3.66) Accounting",100%,0%,0%,100%,0%,
10000747,"BLACKBURN COLLEGE"," (L3.67) Tourism, Transport and Travel",82%,18%,0%,0%,100%,
10000747,"BLACKBURN COLLEGE"," (L3.68) Others in Business and Administrative studies",52%,48%,0%,0%,100%,"Y"
10000747,"BLACKBURN COLLEGE"," (L3.75) English studies",100%,0%,0%,100%,0%,
10000747,"BLACKBURN COLLEGE"," (L3.92) Others in Historical and Philosophical studies",100%,0%,0%,100%,0%,"Y"
10000747,"BLACKBURN COLLEGE"," (L3.95) Fine Art",100%,0%,0%,100%,0%,
10000747,"BLACKBURN COLLEGE"," (L3.96) Design studies",76%,24%,0%,48%,52%,
10000747,"BLACKBURN COLLEGE"," (L3.100) Cinematics and Photography",91%,9%,0%,19%,81%,
10000747,"BLACKBURN COLLEGE"," (L3.103) Teacher Training",12%,88%,41%,0%,59%,
10000747,"BLACKBURN COLLEGE"," (L3.106) Others in Education",4%,96%,0%,0%,100%,
