"UKPRN","Institution","Subject","Destination","Postgraduate","Two years aggregate data (Postgraduate/Full-time)?","First degree","Two years aggregate data (First degree/Full-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Full-time)?","Postgraduate","Two years aggregate data (Postgraduate/Part-time)?","First degree","Two years aggregate data (First degree/Part-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Part-time)?"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Working Only",0%,,0%,,0%,,0%,,0%,,90%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Studying Only",0%,,0%,,0%,,0%,,0%,,0%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Working & Studying",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10000275,"AMERSHAM AND WYCOMBE COLLEGE","(L3.108) Initial Teacher Training","Not available for work or study",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Working Only",0%,,98%,,88%,,0%,,89%,,89%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Studying Only",0%,,1%,,2%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Working & Studying",0%,,0%,,3%,,0%,,9%,,8%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Assumed to be unemployed",0%,,1%,,4%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.05) Nursing","Not available for work or study",0%,,0%,,2%,,0%,,3%,,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Working Only",0%,,60%,,0%,,0%,,0%,,86%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Studying Only",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Working & Studying",0%,,35%,,0%,,0%,,0%,,12%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Assumed to be unemployed",0%,,5%,,0%,,0%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.08) Ophthalmics","Not available for work or study",0%,,0%,,0%,,0%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Working Only",90%,"Y",0%,,0%,,95%,"Y",0%,,41%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Studying Only",0%,,0%,,0%,,0%,,0%,,24%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Working & Studying",0%,,0%,,0%,,5%,"Y",0%,,31%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Assumed to be unemployed",5%,"Y",0%,,0%,,0%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Not available for work or study",5%,"Y",0%,,0%,,0%,,0%,,3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Working Only",0%,,65%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Studying Only",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Working & Studying",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Assumed to be unemployed",0%,,15%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.12) Biology","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.13) Zoology","Working Only",0%,,65%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.13) Zoology","Studying Only",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.13) Zoology","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.13) Zoology","Assumed to be unemployed",0%,,15%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.13) Zoology","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.17) Others in Biological Sciences","Working Only",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.17) Others in Biological Sciences","Studying Only",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.17) Others in Biological Sciences","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.17) Others in Biological Sciences","Assumed to be unemployed",0%,,20%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Working Only",0%,,65%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Studying Only",0%,,15%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Working & Studying",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.19) Psychology","Not available for work or study",0%,,0%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Working Only",0%,,50%,,0%,,95%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Studying Only",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Working & Studying",0%,,15%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Assumed to be unemployed",0%,,25%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.27) Forensic and Archaeological Science","Not available for work or study",0%,,0%,,0%,,5%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Working Only",0%,,57%,,20%,"Y",0%,,80%,,70%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Studying Only",0%,,5%,,65%,"Y",0%,,5%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Working & Studying",0%,,5%,,10%,"Y",0%,,10%,,20%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Assumed to be unemployed",0%,,32%,,5%,"Y",0%,,0%,,5%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Not available for work or study",0%,,0%,,0%,,0%,,5%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Working Only",0%,,60%,"Y",0%,,0%,,0%,,45%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Studying Only",0%,,5%,"Y",0%,,0%,,0%,,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Working & Studying",0%,,0%,,0%,,0%,,0%,,35%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Assumed to be unemployed",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Not available for work or study",0%,,0%,,0%,,0%,,0%,,5%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","Working Only",0%,,0%,,0%,,0%,,0%,,45%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","Studying Only",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","Working & Studying",0%,,0%,,0%,,0%,,0%,,35%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","Assumed to be unemployed",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.41) Civil Engineering","Not available for work or study",0%,,0%,,0%,,0%,,0%,,5%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Working Only",0%,,55%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Studying Only",0%,,15%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Working & Studying",0%,,0%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Not available for work or study",0%,,15%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Working Only",0%,,60%,,15%,"Y",0%,,94%,,42%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Studying Only",0%,,10%,,65%,"Y",0%,,0%,,20%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Working & Studying",0%,,5%,,5%,"Y",0%,,6%,,37%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Assumed to be unemployed",0%,,25%,,10%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Not available for work or study",0%,,5%,,10%,"Y",0%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Working Only",0%,,0%,,0%,,95%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Working & Studying",0%,,0%,,0%,,5%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Working Only",0%,,65%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Studying Only",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Working & Studying",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Assumed to be unemployed",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Working Only",0%,,66%,,15%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Studying Only",0%,,8%,,65%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Working & Studying",0%,,8%,,20%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Assumed to be unemployed",0%,,8%,,5%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Not available for work or study",0%,,8%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Working Only",100%,"Y",62%,,75%,"Y",0%,,90%,,100%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Studying Only",0%,,6%,,10%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Working & Studying",0%,,19%,,15%,"Y",0%,,10%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Assumed to be unemployed",0%,,8%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Not available for work or study",0%,,5%,,5%,"Y",0%,,5%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Working Only",0%,,45%,,85%,"Y",0%,,0%,,85%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Studying Only",0%,,30%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Working & Studying",0%,,10%,,0%,"Y",0%,,0%,,5%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Assumed to be unemployed",0%,,5%,,15%,"Y",0%,,0%,,10%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Working Only",75%,,42%,,25%,"Y",85%,,0%,,42%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Studying Only",5%,,31%,,50%,"Y",0%,,0%,,13%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Working & Studying",5%,,11%,,5%,"Y",10%,,0%,,45%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Assumed to be unemployed",20%,,11%,,10%,"Y",5%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Not available for work or study",5%,,6%,,10%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.64) Human Resource Management","Working Only",0%,,0%,,0%,,0%,,0%,,80%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.64) Human Resource Management","Working & Studying",0%,,0%,,0%,,0%,,0%,,20%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.66) Accounting","Working Only",0%,,55%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.66) Accounting","Studying Only",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.66) Accounting","Working & Studying",0%,,20%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.66) Accounting","Assumed to be unemployed",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Working Only",0%,,60%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Studying Only",0%,,2%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Working & Studying",0%,,4%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Assumed to be unemployed",0%,,30%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Not available for work or study",0%,,4%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","Working Only",0%,,80%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","Studying Only",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","Assumed to be unemployed",0%,,0%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.71) Publicity studies","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Working Only",0%,,42%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Studying Only",0%,,24%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Working & Studying",0%,,17%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Assumed to be unemployed",0%,,9%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Not available for work or study",0%,,8%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Working Only",0%,,70%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Studying Only",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Working & Studying",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Assumed to be unemployed",0%,,10%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Not available for work or study",0%,,5%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Working Only",0%,,0%,,0%,,85%,,0%,,70%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Studying Only",0%,,0%,,0%,,5%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Working & Studying",0%,,0%,,0%,,5%,,0%,,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Not available for work or study",0%,,0%,,0%,,5%,,0%,,15%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Working Only",70%,"Y",57%,,0%,,70%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Studying Only",10%,"Y",7%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Working & Studying",5%,"Y",10%,,0%,,5%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Assumed to be unemployed",15%,"Y",14%,,0%,,10%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Not available for work or study",0%,,12%,,0%,,20%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Working Only",0%,,49%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Studying Only",0%,,24%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Working & Studying",0%,,8%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Assumed to be unemployed",0%,,13%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Working Only",0%,,53%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Studying Only",0%,,18%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Working & Studying",0%,,7%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Assumed to be unemployed",0%,,17%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Not available for work or study",0%,,6%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Working Only",0%,,65%,"Y",15%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Studying Only",0%,,5%,"Y",70%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Working & Studying",0%,,5%,"Y",10%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Assumed to be unemployed",0%,,15%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Not available for work or study",0%,,10%,"Y",5%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.102) Others in Creative Arts and Design","Working Only",0%,,25%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.102) Others in Creative Arts and Design","Studying Only",0%,,25%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.102) Others in Creative Arts and Design","Assumed to be unemployed",0%,,25%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.102) Others in Creative Arts and Design","Not available for work or study",0%,,20%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Working Only",0%,,43%,"Y",65%,,93%,"Y",60%,"Y",68%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Studying Only",0%,,32%,"Y",0%,,1%,"Y",15%,"Y",3%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Working & Studying",0%,,9%,"Y",25%,,4%,"Y",20%,"Y",24%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Assumed to be unemployed",0%,,6%,"Y",5%,,1%,"Y",5%,"Y",4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Not available for work or study",0%,,9%,"Y",5%,,0%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Working Only",97%,,93%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Assumed to be unemployed",2%,,3%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Not available for work or study",1%,,4%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","Working Only",0%,,80%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","Studying Only",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","Working & Studying",0%,,10%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","Not available for work or study",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","Working Only",0%,,45%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","Studying Only",0%,,25%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","Working & Studying",0%,,30%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","Working Only",0%,,65%,,14%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","Studying Only",0%,,7%,,73%,,0%,,0%,,0%,
