"UKPRN","Institution","Subject","Job Category","Postgraduate","Two years aggregate data (Postgraduate/Full-time)?","First degree","Two years aggregate data (First degree/Full-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Full-time)?","Postgraduate","Two years aggregate data (Postgraduate/Part-time)?","First degree","Two years aggregate data (First degree/Part-time)?","Other undergraduate","Two years aggregate data (Other undergraduate/Part-time)?"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Graduate job",0%,,50%,,0%,,0%,,55%,,65%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.35) Computer Science","Non-graduate job",0%,,50%,,0%,,0%,,45%,,35%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Graduate job",0%,,0%,,0%,,0%,,0%,,80%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.36) General Engineering","Non-graduate job",0%,,0%,,0%,,0%,,0%,,20%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.46) Others in Technology","Non-graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Graduate job",0%,,70%,"Y",0%,,0%,,99%,,96%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.48) Building","Non-graduate job",0%,,30%,"Y",0%,,0%,,1%,,4%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Graduate job",0%,,0%,,0%,,95%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.50) Planning (Urban, Rural and Regional)","Non-graduate job",0%,,0%,,0%,,5%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Graduate job",0%,,30%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Non-graduate job",0%,,70%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.54) Sociology","Unknown",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Graduate job",0%,,40%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Non-graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.55) Social Policy","Unknown",0%,,0%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Graduate job",100%,"Y",78%,,0%,,0%,,80%,,100%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.58) Social Work","Non-graduate job",0%,,22%,,0%,,0%,,20%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Graduate job",0%,,45%,,80%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.60) Law","Non-graduate job",0%,,55%,,20%,"Y",0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Graduate job",55%,,54%,,0%,,95%,,0%,,93%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Non-graduate job",45%,,43%,,0%,,5%,,0%,,6%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.61) Business studies","Unknown",0%,,3%,,0%,,0%,,0%,,1%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.64) Human Resource Management","Graduate job",0%,,0%,,0%,,0%,,0%,,100%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Graduate job",0%,,25%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.69) Media studies","Non-graduate job",0%,,75%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.75) English studies","Non-graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Graduate job",0%,,25%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.90) History","Non-graduate job",0%,,75%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Graduate job",0%,,0%,,0%,,90%,,0%,,90%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.94) Theology and Religious studies","Non-graduate job",0%,,0%,,0%,,10%,,0%,,10%,"Y"
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Graduate job",0%,,40%,,0%,,75%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.96) Design studies","Non-graduate job",0%,,60%,,0%,,25%,"Y",0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.97) Music","Non-graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.98) Drama","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Graduate job",0%,,35%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.100) Cinematics and Photography","Non-graduate job",0%,,65%,"Y",0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Graduate job",0%,,25%,"Y",95%,,97%,"Y",60%,"Y",82%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.103) Teacher Training","Non-graduate job",0%,,75%,"Y",5%,,3%,"Y",40%,"Y",18%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Graduate job",100%,,94%,,0%,,0%,,0%,,0%,
10000291,"ANGLIA RUSKIN UNIVERSITY","(L3.108) Initial Teacher Training","Non-graduate job",0%,,6%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","Graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.67) Tourism, Transport and Travel","Non-graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.95) Fine Art","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","Graduate job",0%,,66%,,30%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.96) Design studies","Non-graduate job",0%,,34%,,70%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.98) Drama","Graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.98) Drama","Non-graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.100) Cinematics and Photography","Graduate job",0%,,60%,,0%,,0%,,0%,,0%,
10000385,"THE ARTS UNIVERSITY COLLEGE AT BOURNEMOUTH","(L3.100) Cinematics and Photography","Non-graduate job",0%,,40%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.07) Nutrition","Graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.07) Nutrition","Non-graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.19) Psychology","Graduate job",0%,,30%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.19) Psychology","Non-graduate job",0%,,70%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.31) Physical Geography and Environmental Science","Graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.31) Physical Geography and Environmental Science","Non-graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.54) Sociology","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.54) Sociology","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.61) Business studies","Graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.61) Business studies","Non-graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.69) Media studies","Graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.69) Media studies","Non-graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.75) English studies","Graduate job",80%,"Y",35%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.75) English studies","Non-graduate job",20%,"Y",65%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.90) History","Graduate job",0%,,15%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.90) History","Non-graduate job",0%,,85%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.95) Fine Art","Graduate job",0%,,30%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.95) Fine Art","Non-graduate job",0%,,70%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.96) Design studies","Graduate job",0%,,53%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.96) Design studies","Non-graduate job",0%,,47%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.97) Music","Graduate job",0%,,41%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.97) Music","Non-graduate job",0%,,59%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.98) Drama","Graduate job",0%,,40%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.98) Drama","Non-graduate job",0%,,60%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.99) Dance","Graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.99) Dance","Non-graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.101) Imaginative Writing","Graduate job",65%,,35%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.101) Imaginative Writing","Non-graduate job",35%,,65%,,0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.102) Others in Creative Arts and Design","Graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.102) Others in Creative Arts and Design","Non-graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.103) Teacher Training","Graduate job",0%,,0%,,0%,,100%,"Y",0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.105) Academic studies in Education","Graduate job",0%,,40%,,40%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.105) Academic studies in Education","Non-graduate job",0%,,60%,,60%,,0%,,0%,,0%,
10000571,"BATH SPA UNIVERSITY","(L3.108) Initial Teacher Training","Graduate job",96%,,0%,,93%,,90%,"Y",0%,,90%,
10000571,"BATH SPA UNIVERSITY","(L3.108) Initial Teacher Training","Non-graduate job",4%,,0%,,7%,,10%,"Y",0%,,10%,
10000610,"BEDFORD COLLEGE","(L3.103) Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,100%,"Y"
10000671,"BEXLEY COLLEGE","(L3.48) Building","Graduate job",0%,,0%,,0%,,0%,,0%,,90%,
10000671,"BEXLEY COLLEGE","(L3.48) Building","Non-graduate job",0%,,0%,,0%,,0%,,0%,,10%,
10000671,"BEXLEY COLLEGE","(L3.48) Building","Unknown",0%,,0%,,0%,,0%,,0%,,5%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.03) Anatomy, Physiology and Pathology","Graduate job",0%,,52%,,0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.03) Anatomy, Physiology and Pathology","Non-graduate job",0%,,48%,,0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.23) Food and Beverage studies","Graduate job",0%,,30%,,0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.23) Food and Beverage studies","Non-graduate job",0%,,70%,,0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.61) Business studies","Graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.61) Business studies","Non-graduate job",0%,,50%,"Y",0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.62) Marketing","Graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.62) Marketing","Non-graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","Graduate job",70%,,59%,,0%,,0%,,60%,"Y",0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.67) Tourism, Transport and Travel","Non-graduate job",30%,,41%,,0%,,0%,,40%,"Y",0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Graduate job",0%,,85%,,0%,,0%,,100%,,97%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.105) Academic studies in Education","Non-graduate job",0%,,15%,,0%,,0%,,0%,,3%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.108) Initial Teacher Training","Graduate job",100%,"Y",0%,,0%,,0%,,0%,,0%,
10000712,"UNIVERSITY COLLEGE BIRMINGHAM","(L3.108) Initial Teacher Training","Non-graduate job",0%,"Y",0%,,0%,,0%,,0%,,0%,
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Graduate job",0%,,0%,,0%,,0%,,0%,,55%,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.105) Academic studies in Education","Non-graduate job",0%,,0%,,0%,,0%,,0%,,45%,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,90%,"Y"
10000720,"BISHOP AUCKLAND COLLEGE","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10000721,"BISHOP BURTON COLLEGE","(L3.12) Biology","Graduate job",0%,,15%,,0%,,0%,,0%,,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.12) Biology","Non-graduate job",0%,,85%,,0%,,0%,,0%,,0%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Graduate job",0%,,0%,,0%,,0%,,0%,,40%,
10000721,"BISHOP BURTON COLLEGE","(L3.24) Agriculture and others in Veterinary Sciences, Agriculture and related subjects","Non-graduate job",0%,,0%,,0%,,0%,,0%,,60%,
10000794,"BOLTON COLLEGE","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,0%,,0%,,90%,"Y"
10000794,"BOLTON COLLEGE","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,0%,,0%,,10%,"Y"
10000824,"BOURNEMOUTH UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","Graduate job",0%,,95%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.03) Anatomy, Physiology and Pathology","Non-graduate job",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","Graduate job",0%,,83%,,98%,,0%,,100%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.05) Nursing","Non-graduate job",0%,,17%,,2%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.06) Complementary Medicine","Graduate job",0%,,100%,,0%,,100%,"Y",0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Graduate job",0%,,100%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.11) Others in Subjects allied to Medicine","Non-graduate job",0%,,5%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.18) Sports Science","Graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.18) Sports Science","Non-graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.19) Psychology","Graduate job",0%,,60%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.19) Psychology","Non-graduate job",0%,,40%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.27) Forensic and Archaeological Science","Graduate job",0%,,30%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.27) Forensic and Archaeological Science","Non-graduate job",0%,,70%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.35) Computer Science","Graduate job",0%,,81%,,40%,"Y",0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.35) Computer Science","Non-graduate job",0%,,19%,,60%,"Y",0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.36) General Engineering","Graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.36) General Engineering","Non-graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","Graduate job",0%,,75%,,0%,,0%,,100%,,100%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.58) Social Work","Non-graduate job",0%,,25%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.59) Human and Social Geography","Graduate job",0%,,55%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.59) Human and Social Geography","Non-graduate job",0%,,45%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.60) Law","Graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.60) Law","Non-graduate job",0%,,50%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","Graduate job",0%,,60%,,0%,,95%,"Y",75%,"Y",0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.61) Business studies","Non-graduate job",0%,,40%,,0%,,5%,"Y",25%,"Y",0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.62) Marketing","Graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.62) Marketing","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.63) Management studies","Graduate job",0%,,70%,,0%,,95%,"Y",0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.63) Management studies","Non-graduate job",0%,,30%,,0%,,5%,"Y",0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.64) Human Resource Management","Graduate job",0%,,0%,,0%,,100%,"Y",0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.65) Finance","Graduate job",0%,,65%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.65) Finance","Non-graduate job",0%,,35%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.66) Accounting","Graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.66) Accounting","Non-graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.67) Tourism, Transport and Travel","Graduate job",75%,"Y",59%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.67) Tourism, Transport and Travel","Non-graduate job",25%,"Y",41%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.69) Media studies","Graduate job",65%,,60%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.69) Media studies","Non-graduate job",35%,,40%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.71) Publicity studies","Graduate job",0%,,75%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.71) Publicity studies","Non-graduate job",0%,,25%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.73) Journalism","Graduate job",0%,,55%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.73) Journalism","Non-graduate job",0%,,45%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.91) Archaeology","Graduate job",0%,,27%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.91) Archaeology","Non-graduate job",0%,,73%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.96) Design studies","Graduate job",0%,,71%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.96) Design studies","Non-graduate job",0%,,29%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.100) Cinematics and Photography","Graduate job",100%,"Y",0%,,0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.101) Imaginative Writing","Graduate job",0%,,30%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.101) Imaginative Writing","Non-graduate job",0%,,70%,"Y",0%,,0%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.106) Others in Education","Graduate job",0%,,0%,,0%,,95%,,0%,,0%,
10000824,"BOURNEMOUTH UNIVERSITY","(L3.106) Others in Education","Non-graduate job",0%,,0%,,0%,,5%,,0%,,0%,
10000825,"BOURNVILLE COLLEGE OF FURTHER EDUCATION","(L3.63) Management studies","Graduate job",0%,,0%,,0%,,0%,,0%,,95%,
10000825,"BOURNVILLE COLLEGE OF FURTHER EDUCATION","(L3.63) Management studies","Non-graduate job",0%,,0%,,0%,,0%,,0%,,5%,
10000833,"BRACKNELL AND WOKINGHAM COLLEGE","(L3.108) Initial Teacher Training","Graduate job",0%,,0%,,0%,,95%,"Y",0%,,100%,"Y"
10000833,"BRACKNELL AND WOKINGHAM COLLEGE","(L3.108) Initial Teacher Training","Non-graduate job",0%,,0%,,0%,,5%,"Y",0%,,0%,
10000840,"BRADFORD COLLEGE","(L3.48) Building","Graduate job",0%,,0%,,0%,,0%,,0%,,80%,
